m,eps,n_docs,mean_vocab_size,bloom_bits_per_elem_theoretical,bloom_bits_per_elem_actual,bloom_serialized_bits_per_elem,bloom_empirical_fpr,cipher_bits_per_elem_theoretical,cipher_bits_per_elem_practical,cipher_serialized_bits_per_elem,cipher_empirical_fpr,ratio_practical,ratio_theoretical,ratio_serialized,cipher_n_bits
1000,0.01,1000,97.28,9.585091324987996,9.598385062934126,13.140491215595567,0.013573400000000013,8.8,30.546947054373,39.0241879107878,0.007825199999999996,3.182509021474402,0.9180924522918953,2.9697662949215027,7
1000,0.05,1000,97.28,6.235245662493998,6.248189860993599,9.797624819364952,0.052848200000000005,6.8,28.546947054373007,39.025510396964485,0.031238600000000012,4.5688347648631495,1.0905745127097541,3.9831603185938267,5
1000,0.1,1000,97.28,4.792545662493998,4.8055688514114765,8.342847491501603,0.10273920000000004,5.8,27.546947054373014,39.023203133272624,0.06241259999999995,5.7322968219011186,1.2102127780211345,4.67744414278499,4
5000,0.01,5000,99.7838,9.585091324987996,9.599225606474487,13.203902063614814,0.013942319999999998,8.8,30.893417901627416,39.492808396247675,0.007819279999999991,3.218323974049575,0.9180924522918953,2.9909952532195456,7
5000,0.05,5000,99.7838,6.235245662493998,6.2484974761448715,9.855192050211,0.05240824000000007,6.8,28.893417901627494,39.49310058485503,0.031196079999999984,4.62405850557434,1.0905745127097541,4.007339520492599,5
5000,0.1,5000,99.7838,4.792545662493998,4.80534552808209,8.405401001530464,0.10274603999999989,5.8,27.893417901627544,39.492951872713554,0.06240552000000039,5.804664355272776,1.2102127780211345,4.698520851714586,4
11004,0.01,11004,97.95310796074155,9.585091324987996,9.598796667850786,13.153182606747801,0.013741621228644236,8.8,30.5919134499658,39.090987223857006,0.007806779352962535,3.187057139404482,0.9180924522918953,2.9719793598701107,7
11004,0.05,11004,97.95310796074155,6.235245662493998,6.248430038694583,9.806882010483804,0.05248462377317374,6.8,28.591913449965816,39.09111030186646,0.0312402762631767,4.57585557858614,1.0905745127097541,3.986089590970614,5
11004,0.1,11004,97.95310796074155,4.792545662493998,4.805538881758477,8.35285839458655,0.10259458378771348,5.8,27.5919134499658,39.09152210737135,0.06251186841148634,5.741689772754303,1.2102127780211345,4.680017337862017,4
