codec_label,encoding,t,m_bits,n_replicates,decode_tpr_mean,decode_tpr_std,decode_fpr_mean,decode_fpr_std,pattern_tpr_mean,pattern_tpr_std,pattern_fpr_mean,pattern_fpr_std,pred_decode_tpr,pred_decode_fpr,pred_pattern_tpr,pred_pattern_fpr,gap_decode_tpr,gap_decode_fpr,gap_pattern_tpr,gap_pattern_fpr
Huffman(M=4),canonical,2,4,5,1.0,0.0,0.2884,0.012890888254887626,1.0,0.0,0.064,0.004541475531146239,1.0,0.2890625,1.0,0.0625,0.0,-0.0006625000000000103,0.0,0.0015000000000000013
Huffman(M=4),canonical,3,4,5,1.0,0.0,0.1296,0.012325785978995417,1.0,0.0,0.003,0.0016583123951776997,1.0,0.12841796875,1.0,0.00390625,0.0,0.001182031249999993,0.0,-0.0009062499999999999
Huffman(M=4),canonical,4,4,5,1.0,0.0,0.06699999999999999,0.005556527692723215,1.0,0.0,0.0005,0.0006123724356957946,1.0,0.062835693359375,1.0,0.000244140625,0.0,0.00416430664062499,0.0,0.000255859375
Huffman(M=4),random,2,4,5,1.0,0.0,0.286,0.016274980798759785,0.5406000000000001,0.00559464029227975,0.0619,0.006188699378706322,1.0,0.2890625,0.53166349238434,0.0625,0.0,-0.0030625000000000235,0.008936507615660116,-0.0006000000000000033
Huffman(M=4),random,3,4,5,1.0,0.0,0.1266,0.0027018512172212617,0.4306,0.020647033685253675,0.0023,0.0012041594578792295,1.0,0.12841796875,0.43813922778183656,0.00390625,0.0,-0.0018179687500000097,-0.007539227781836577,-0.00160625
Huffman(M=4),random,4,4,5,1.0,0.0,0.0606,0.0046824139073772635,0.41559999999999997,0.006877499545619766,0.0001,0.00022360679774997898,1.0,0.062835693359375,0.40895759413125055,0.000244140625,0.0,-0.002235693359374999,0.006642405868749424,-0.000144140625
Huffman(M=5),canonical,2,5,5,1.0,0.0,0.3016,0.016187958487715506,1.0,0.0,0.0313,0.004055859958134649,1.0,0.294921875,1.0,0.03125,0.0,0.006678124999999979,0.0,5.000000000000143e-05
Huffman(M=5),canonical,3,5,5,1.0,0.0,0.1271,0.005424481542046212,1.0,0.0,0.0013000000000000002,0.0010954451150103322,1.0,0.12969970703125,1.0,0.0009765625,0.0,-0.0025997070312500092,0.0,0.00032343750000000016
Huffman(M=5),canonical,4,5,5,1.0,0.0,0.0628,0.007529940238806681,1.0,0.0,0.0,0.0,1.0,0.06303596496582031,1.0,3.0517578125e-05,0.0,-0.00023596496582031778,0.0,-3.0517578125e-05
Huffman(M=5),random,2,5,5,1.0,0.0,0.29979999999999996,0.010820120147207249,0.2652,0.01778201338431618,0.0339,0.004292435206266951,1.0,0.294921875,0.2755788928970314,0.03125,0.0,0.004878124999999955,-0.010378892897031422,0.0026499999999999996
Huffman(M=5),random,3,5,5,1.0,0.0,0.1348,0.005081830378908769,0.12940000000000002,0.014876155417311281,0.0008,0.000570087712549569,1.0,0.12969970703125,0.14566043663072703,0.0009765625,0.0,0.005100292968750003,-0.016260436630727015,-0.00017656249999999996
Huffman(M=5),random,4,5,5,1.0,0.0,0.0633,0.0037013511046643504,0.1058,0.011713240371477059,0.0,0.0,1.0,0.06303596496582031,0.1058107978488714,3.0517578125e-05,0.0,0.00026403503417968266,-1.0797848871396676e-05,-3.0517578125e-05
Huffman(M=6),canonical,2,6,5,1.0,0.0,0.2953,0.009364827814754508,1.0,0.0,0.0167,0.0032901367752724204,1.0,0.294921875,1.0,0.015625,0.0,0.00037812500000000693,0.0,0.0010749999999999996
Huffman(M=6),canonical,3,6,5,1.0,0.0,0.124,0.0037914377220257785,1.0,0.0,0.00030000000000000003,0.00044721359549995795,1.0,0.12969970703125,1.0,0.000244140625,0.0,-0.005699707031250001,0.0,5.585937500000003e-05
Huffman(M=6),canonical,4,6,5,1.0,0.0,0.0639,0.0037815340802378108,1.0,0.0,0.0,0.0,1.0,0.06303596496582031,1.0,3.814697265625e-06,0.0,0.000864035034179686,0.0,-3.814697265625e-06
Huffman(M=6),random,2,6,5,1.0,0.0,0.2946,0.011109680463451692,0.14220000000000002,0.0091214034007931,0.0154,0.002434132288927618,1.0,0.294921875,0.1377894464485157,0.015625,0.0,-0.000321875000000027,0.004410553551484314,-0.0002249999999999995
Huffman(M=6),random,3,6,5,1.0,0.0,0.1331,0.005260703375025049,0.0386,0.008080841540334767,0.0002,0.00044721359549995795,1.0,0.12969970703125,0.03641510915768176,0.000244140625,0.0,0.003400292968749996,0.0021848908423182448,-4.414062499999999e-05
Huffman(M=6),random,4,6,5,1.0,0.0,0.060399999999999995,0.002103568396796263,0.0116,0.0031304951684997056,0.0,0.0,1.0,0.06303596496582031,0.013226349731108925,3.814697265625e-06,0.0,-0.002635964965820317,-0.001626349731108926,-3.814697265625e-06
Huffman(M=7),canonical,2,7,5,1.0,0.0,0.2926,0.014275853739794332,1.0,0.0,0.008799999999999999,0.0028635642126552704,1.0,0.294921875,1.0,0.0078125,0.0,-0.0023218749999999733,0.0,0.0009874999999999988
Huffman(M=7),canonical,3,7,5,1.0,0.0,0.1306,0.008583414239100895,1.0,0.0,0.0,0.0,1.0,0.12969970703125,1.0,6.103515625e-05,0.0,0.0009002929687499939,0.0,-6.103515625e-05
Huffman(M=7),canonical,4,7,5,1.0,0.0,0.0635,0.0071326713088435524,1.0,0.0,0.0,0.0,1.0,0.06303596496582031,1.0,4.76837158203125e-07,0.0,0.0004640350341796884,0.0,-4.76837158203125e-07
Huffman(M=7),random,2,7,5,1.0,0.0,0.304,0.01569235482647523,0.0684,0.011148990985734984,0.0087,0.0031344856037314956,1.0,0.294921875,0.06889472322425785,0.0078125,0.0,0.009078124999999992,-0.0004947232242578509,0.0008874999999999994
Huffman(M=7),random,3,7,5,1.0,0.0,0.1305,0.006072478900745565,0.0082,0.003563705936241092,0.0002,0.00044721359549995795,1.0,0.12969970703125,0.00910377728942044,6.103515625e-05,0.0,0.0008002929687500049,-0.0009037772894204387,0.00013896484375
Huffman(M=7),random,4,7,5,1.0,0.0,0.058499999999999996,0.006519202405202652,0.0018000000000000002,0.0010954451150103322,0.0,0.0,1.0,0.06303596496582031,0.0016532937163886157,4.76837158203125e-07,0.0,-0.004535964965820316,0.00014670628361138451,-4.76837158203125e-07
Huffman(M=8),canonical,2,8,5,1.0,0.0,0.2999,0.013763175505674546,1.0,0.0,0.0052,0.0021095023109728986,1.0,0.294921875,1.0,0.00390625,0.0,0.004978125,0.0,0.0012937499999999998
Huffman(M=8),canonical,3,8,5,1.0,0.0,0.1259,0.007197221686178634,1.0,0.0,0.0,0.0,1.0,0.12969970703125,1.0,1.52587890625e-05,0.0,-0.003799707031249988,0.0,-1.52587890625e-05
Huffman(M=8),canonical,4,8,5,1.0,0.0,0.0674,0.003267261850540907,1.0,0.0,0.0,0.0,1.0,0.06303596496582031,1.0,5.960464477539063e-08,0.0,0.004364035034179689,0.0,-5.960464477539063e-08
Huffman(M=8),random,2,8,5,1.0,0.0,0.2984,0.010708641370407368,0.0316,0.005272570530585627,0.0035000000000000005,0.0010606601717798212,1.0,0.294921875,0.03444736161212893,0.00390625,0.0,0.0034781249999999986,-0.0028473616121289236,-0.0004062499999999995
Huffman(M=8),random,3,8,5,1.0,0.0,0.13140000000000002,0.013501851724856108,0.002,0.0018708286933869706,0.0,0.0,1.0,0.12969970703125,0.00227594432235511,1.52587890625e-05,0.0,0.0017002929687500168,-0.0002759443223551098,-1.52587890625e-05
Huffman(M=8),random,4,8,5,1.0,0.0,0.0612,0.0040865633483405115,0.0002,0.00044721359549995795,0.0,0.0,1.0,0.06303596496582031,0.00020666171454857696,5.960464477539063e-08,0.0,-0.001835964965820315,-6.661714548576947e-06,-5.960464477539063e-08
Dense(M=3),canonical,2,3,5,1.0,0.0,0.12410000000000002,0.007101056259458876,1.0,0.0,0.12410000000000002,0.007101056259458876,1.0,0.125,1.0,0.125,0.0,-0.0008999999999999841,0.0,-0.0008999999999999841
Dense(M=3),canonical,3,3,5,1.0,0.0,0.016,0.005488624600025037,1.0,0.0,0.016,0.005488624600025037,1.0,0.015625,1.0,0.015625,0.0,0.00037500000000000033,0.0,0.00037500000000000033
